BM,case_count,median_measured_speedup,mean_measured_speedup,min_measured_speedup,max_measured_speedup,median_ideal_speedup,median_speedup_percent_of_ideal,median_prediction_error_percent,median_fused_ms,median_ref_ms
8,144,2.2700184600212427,2.445465640967624,0.5511687166843432,9.012605071671056,4.555555555555555,48.04694318259601,108.13014265271842,0.728297,1.6360085
16,144,3.963781876785541,3.959588114217117,0.5189052343482724,14.470199778590343,4.555555555555555,66.49359828174434,50.39048616411917,0.44356674999999995,1.6360085
32,144,4.895999977818133,5.142523138419049,0.6426767015706807,21.291625310586934,4.555555555555555,82.6451410367886,20.999354282367875,0.31715825,1.6360085
64,76,5.264980037119525,4.9315514810007945,0.6377040291184903,17.47370394290343,4.764705882352941,72.61212679542643,37.7217361287655,0.352179,1.6327337499999999
128,76,4.956206514280581,4.734840229651939,0.4960951702273091,16.864452388175856,4.764705882352941,61.711043053270686,62.059758412911094,0.37515649999999995,1.6327337499999999
