F,case_count,median_measured_speedup,mean_measured_speedup,min_measured_speedup,max_measured_speedup,median_ideal_speedup,median_speedup_percent_of_ideal,median_prediction_error_percent,median_fused_ms,median_ref_ms
256,32,3.651024221759168,3.534478495766601,2.1411700569742704,5.139940940410389,2.8823529411764706,126.66818728552215,-21.05061250562492,0.2752644999999999,1.00231975
512,456,2.598429260752776,4.01288135676589,0.4960951702273091,21.291625310586934,4.2,66.47147458909674,50.44048958377799,0.34953874999999995,1.6108600000000002
1024,32,4.8022692089449315,4.46699843423019,2.393642074809756,6.745291334896069,7.4,64.89552985060718,54.130891223583646,0.67966975,3.2665207499999998
2048,32,5.09680070624094,4.780184138498032,2.366833764461591,7.47165469281497,11.666666666666666,43.68686319635092,128.96101632679876,1.2252075,6.23586175
4096,32,5.296133260294004,4.9565559316085555,2.00063543540402,8.24281747759822,17.0,31.15372506055296,221.16044201964633,2.34158125,12.3947595
