D,case_count,median_measured_speedup,mean_measured_speedup,min_measured_speedup,max_measured_speedup,median_ideal_speedup,median_speedup_percent_of_ideal,median_prediction_error_percent,median_fused_ms,median_ref_ms
64,60,5.612943536376653,5.625286645481332,3.4138308147099057,8.157082033764047,8.11111111111111,69.20067373615052,44.50753069964071,0.29250675000000004,1.6327337499999999
128,512,2.6465387105455784,3.963119534107897,0.4960951702273091,21.291625310586934,4.377777777777778,60.86146913690246,64.30769511367777,0.40797425,1.46422075
256,12,2.6481711277630735,2.5718702080358837,1.4875517175180886,3.602950588507741,2.7777777777777777,95.33416059947066,4.894216876176259,0.85471575,2.2634335
