E,case_count,median_measured_speedup,mean_measured_speedup,min_measured_speedup,max_measured_speedup,median_ideal_speedup,median_speedup_percent_of_ideal,median_prediction_error_percent,median_fused_ms,median_ref_ms
1,32,1.372601233667319,1.299751686025885,0.7433687735877962,1.952692027793732,4.878787878787879,28.134062553429516,255.5387102126111,0.41921224999999995,0.57169925
2,32,2.6555993185029036,2.4845880837639562,1.4441512184948018,3.5624746136900507,4.764705882352941,55.734800511789345,79.47249002417027,0.4186765,1.108754
4,456,3.4493102938063593,3.47187024393563,0.4960951702273091,8.24281747759822,4.555555555555555,62.896802803423576,58.991606874488824,0.31485325,1.6360085
8,32,7.690190921410322,7.508973299982195,4.301397172885972,11.817924852142946,4.2,183.0997838431029,-45.38444294118942,0.4282625,3.2796510000000003
16,32,14.60508954669957,14.154312288162537,8.21298362928119,21.291625310586934,3.6666666666666665,398.3206240008974,-74.89245479340488,0.43769525,6.388863
