case_id,timestamp,backend,input_dtype,M,D,F,E,BM,BF,group_pattern,group_sizes,estimated_problem_memory_gib,max_group_size,programs_per_expert,active_programs_Q,launched_programs,inactive_programs,grid_utilization,processed_token_slots,padded_rows,row_utilization,padding_overhead_fraction,padding_overhead_percent,padding_overcompute_factor,hidden_chunks_F_over_BF,useful_flops,actual_fused_flops,padding_extra_flops,reference_min_bytes,fused_min_bytes,hidden_activation_bytes,hidden_intermediate_mib,hidden_write_read_saved_bytes,memory_saved_fraction,memory_saved_percent,fused_no_cache_bytes,fused_tile_upper_bytes,minimum_weight_bytes,no_cache_weight_bytes,weight_reread_factor_no_cache,reference_ideal_ai_flops_per_byte,fused_ideal_effective_ai_flops_per_byte,fused_ideal_actual_ai_flops_per_byte,fused_no_cache_actual_ai_flops_per_byte,fused_per_program_ai_flops_per_byte,fused_large_F_ai_approximation,expansion_ratio_F_over_D,token_to_expert_hidden_ratio_M_over_EF,fraction_of_asymptotic_benefit,fraction_of_asymptotic_benefit_percent,asymptotic_max_memory_speedup,ideal_memory_speedup,logical_tile_shared_bytes,inferred_one_extra_stage_shared_bytes,max_absolute_error,mean_absolute_error,l2_relative_error,normalized_max_error,reference_is_finite,fused_is_finite,numerically_acceptable,ref_compile_plus_first_ms,ref_mean_ms,ref_median_ms,ref_min_ms,ref_max_ms,ref_std_ms,ref_p10_ms,ref_p90_ms,ref_cv_percent,ref_run_times_ms,fused_compile_plus_first_ms,fused_mean_ms,fused_median_ms,fused_min_ms,fused_max_ms,fused_std_ms,fused_p10_ms,fused_p90_ms,fused_cv_percent,fused_run_times_ms,speedup_ref_over_fused,predicted_fused_ms_from_memory_model,fused_vs_predicted_latency_ratio,prediction_error_percent,speedup_as_fraction_of_ideal,speedup_percent_of_ideal,speedup_gap_from_ideal,incremental_fusion_benefit_fraction,ref_tokens_per_second,fused_tokens_per_second,ref_effective_tflops,fused_effective_tflops,fused_actual_tflops,ref_minimum_traffic_gbps,fused_minimum_traffic_gbps,fused_no_cache_traffic_gbps
c8ceb0902f5c07c9,2026-07-09T18:19:51.623414+00:00,gpu,float32,16384,128,512,1,32,16,skewed,[16384],0.0744873145595192,16384,[512],512,512,0,1.0,16384,0,1.0,0.0,0.0,1.0,32,4294967296,4294967296,0,84410368,17301504,33554432,32.0,67108864,0.7950310559006211,79.5031055900621,285212672,285212672,524288,268435456,512.0,50.88198757763975,248.24242424242425,248.24242424242425,15.058823529411764,15.058823529411764,16.0,4.0,32.0,0.9696969696969696,96.96969696969695,5.0,4.878787878787879,51200,59392,0.000279426574707,3.059203095290286e-07,4.768492544826586e-06,8.098936814349145e-05,True,True,True,1186.931432,0.5742115999999999,0.572872,0.564328,0.596739,0.0089574057873917,0.5660218,0.5809124999999999,1.5599485951506014,"[0.574043, 0.579154, 0.596739, 0.571701, 0.568765, 0.56621, 0.576518, 0.566837, 0.577821, 0.564328]",337.85489,0.4132159999999999,0.410557,0.40094,0.428331,0.0086885234418743,0.4047505999999999,0.4242774,2.1026590068812308,"[0.428331, 0.410523, 0.41471, 0.40897, 0.405174, 0.405588, 0.410591, 0.40094, 0.423506, 0.423827]",1.3953531421946284,0.1174209689440993,3.496453859067148,249.6453859067148,0.2860040602013834,28.600406020138344,3.4834347365932503,0.1019269819720526,28599757.01378318,39906760.81518523,7.497254702621178,10.461317907135916,10.461317907135916,147.34594813501093,42.1415394208356,694.6968922707443
d6f6f0b0af8bd6fd,2026-07-09T18:19:52.354020+00:00,gpu,float32,16384,128,512,1,8,16,skewed,[16384],0.0744873145595192,16384,[2048],2048,2048,0,1.0,16384,0,1.0,0.0,0.0,1.0,32,4294967296,4294967296,0,84410368,17301504,33554432,32.0,67108864,0.7950310559006211,79.5031055900621,1090519040,1090519040,524288,1073741824,2048.0,50.88198757763975,248.24242424242425,248.24242424242425,3.9384615384615382,3.9384615384615382,4.0,4.0,32.0,0.9696969696969696,96.96969696969695,5.0,4.878787878787879,25088,33280,0.000279426574707,3.059203095290286e-07,4.768492544826586e-06,8.098936814349145e-05,True,True,True,1186.931432,0.5742115999999999,0.572872,0.564328,0.596739,0.0089574057873917,0.5660218,0.5809124999999999,1.5599485951506014,"[0.574043, 0.579154, 0.596739, 0.571701, 0.568765, 0.56621, 0.576518, 0.566837, 0.577821, 0.564328]",256.00243,0.7603401,0.7516160000000001,0.743574,0.809264,0.0212154299482711,0.74469,0.7945184000000001,2.7902553013146543,"[0.75081, 0.760354, 0.752422, 0.747093, 0.743574, 0.747459, 0.744814, 0.754731, 0.809264, 0.79288]",0.7621870742506812,0.1174209689440993,6.401037282853815,540.1037282853814,0.156224679815357,15.6224679815357,4.116600804537198,-0.0613111449197462,28599757.01378318,21798365.122615803,7.497254702621178,5.714310626702997,5.714310626702997,147.34594813501093,23.019073569482284,1450.8991825613075
3f219868dd2f660f,2026-07-09T18:19:52.862281+00:00,gpu,float32,16384,128,512,1,8,32,skewed,[16384],0.0744873145595192,16384,[2048],2048,2048,0,1.0,16384,0,1.0,0.0,0.0,1.0,16,4294967296,4294967296,0,84410368,17301504,33554432,32.0,67108864,0.7950310559006211,79.5031055900621,1090519040,1090519040,524288,1073741824,2048.0,50.88198757763975,248.24242424242425,248.24242424242425,3.9384615384615382,3.9384615384615382,4.0,4.0,32.0,0.9696969696969696,96.96969696969695,5.0,4.878787878787879,41984,58368,0.000279426574707,3.059203095290286e-07,4.768492544826586e-06,8.098936814349145e-05,True,True,True,1186.931432,0.5742115999999999,0.572872,0.564328,0.596739,0.0089574057873917,0.5660218,0.5809124999999999,1.5599485951506014,"[0.574043, 0.579154, 0.596739, 0.571701, 0.568765, 0.56621, 0.576518, 0.566837, 0.577821, 0.564328]",285.266062,0.7152013,0.713881,0.699058,0.739476,0.0109460953956194,0.7046380000000001,0.7268751,1.5304915407199902,"[0.712246, 0.725475, 0.712288, 0.716964, 0.720396, 0.739476, 0.705258, 0.705378, 0.699058, 0.715474]",0.802475482608446,0.1174209689440993,6.079672195005114,507.96721950051136,0.1644825523358926,16.44825523358927,4.076312396179433,-0.05092428964001,28599757.01378318,22950603.81211995,7.497254702621178,6.016363085724372,6.016363085724372,147.34594813501093,24.235837625598663,1527.5921897347037
477f32f00ad10726,2026-07-09T18:19:53.452890+00:00,gpu,float32,16384,128,512,1,16,16,skewed,[16384],0.0744873145595192,16384,[1024],1024,1024,0,1.0,16384,0,1.0,0.0,0.0,1.0,32,4294967296,4294967296,0,84410368,17301504,33554432,32.0,67108864,0.7950310559006211,79.5031055900621,553648128,553648128,524288,536870912,1024.0,50.88198757763975,248.24242424242425,248.24242424242425,7.757575757575758,7.757575757575758,8.0,4.0,32.0,0.9696969696969696,96.96969696969695,5.0,4.878787878787879,33792,41984,0.000279426574707,3.059203095290286e-07,4.768492544826586e-06,8.098936814349145e-05,True,True,True,1186.931432,0.5742115999999999,0.572872,0.564328,0.596739,0.0089574057873917,0.5660218,0.5809124999999999,1.5599485951506014,"[0.574043, 0.579154, 0.596739, 0.571701, 0.568765, 0.56621, 0.576518, 0.566837, 0.577821, 0.564328]",266.409298,0.4682665,0.4674454999999999,0.46054,0.47512,0.00450384525156,0.4637503,0.4746862,0.961812397760688,"[0.466448, 0.472519, 0.464107, 0.46054, 0.467232, 0.47512, 0.467659, 0.469768, 0.474638, 0.464634]",1.2255375225561056,0.1174209689440993,3.980937171643821,298.0937171643821,0.2511971319524937,25.119713195249368,3.653250356231773,0.0581463925339959,28599757.01378318,35050075.35637845,7.497254702621178,9.188166954222472,9.188166954222472,147.34594813501093,37.01287957633564,1184.4121464427403
1f072bff990e06e2,2026-07-09T18:19:54.479497+00:00,gpu,float32,16384,128,512,1,128,16,skewed,[16384],0.0744873145595192,16384,[128],128,128,0,1.0,16384,0,1.0,0.0,0.0,1.0,32,4294967296,4294967296,0,84410368,17301504,33554432,32.0,67108864,0.7950310559006211,79.5031055900621,83886080,83886080,524288,67108864,128.0,50.88198757763975,248.24242424242425,248.24242424242425,51.2,51.2,64.0,4.0,32.0,0.9696969696969696,96.96969696969695,5.0,4.878787878787879,155648,163840,0.000279426574707,3.059203095290286e-07,4.768492544826586e-06,8.098936814349145e-05,True,True,True,1186.931432,0.5742115999999999,0.572872,0.564328,0.596739,0.0089574057873917,0.5660218,0.5809124999999999,1.5599485951506014,"[0.574043, 0.579154, 0.596739, 0.571701, 0.568765, 0.56621, 0.576518, 0.566837, 0.577821, 0.564328]",798.259975,0.4065174,0.4050195,0.400837,0.419697,0.0052825342819521,0.401746,0.4123746,1.2994608058479598,"[0.411561, 0.419697, 0.406471, 0.404762, 0.403798, 0.407869, 0.403055, 0.400837, 0.401847, 0.405277]",1.4144306632149812,0.1174209689440993,3.449294479871118,244.9294479871118,0.2899143595409589,28.991435954095888,3.464357215572898,0.1068454053601123,28599757.01378318,40452373.28079265,7.497254702621178,10.60434694132011,10.60434694132011,147.34594813501093,42.71770618451704,207.1161511976584
19ec5b324773d5b7,2026-07-09T18:19:54.805572+00:00,gpu,float32,16384,128,512,1,16,32,skewed,[16384],0.0744873145595192,16384,[1024],1024,1024,0,1.0,16384,0,1.0,0.0,0.0,1.0,16,4294967296,4294967296,0,84410368,17301504,33554432,32.0,67108864,0.7950310559006211,79.5031055900621,553648128,553648128,524288,536870912,1024.0,50.88198757763975,248.24242424242425,248.24242424242425,7.757575757575758,7.757575757575758,8.0,4.0,32.0,0.9696969696969696,96.96969696969695,5.0,4.878787878787879,51200,67584,0.000279426574707,3.059203095290286e-07,4.768492544826586e-06,8.098936814349145e-05,True,True,True,1186.931432,0.5742115999999999,0.572872,0.564328,0.596739,0.0089574057873917,0.5660218,0.5809124999999999,1.5599485951506014,"[0.574043, 0.579154, 0.596739, 0.571701, 0.568765, 0.56621, 0.576518, 0.566837, 0.577821, 0.564328]",303.042334,0.4538045999999999,0.4522925,0.442051,0.473104,0.0092697735161113,0.4441696,0.4642506999999999,2.042679496001448,"[0.454037, 0.461955, 0.442051, 0.450962, 0.453623, 0.463267, 0.473104, 0.449782, 0.44486, 0.444405]",1.2665962844840453,0.1174209689440993,3.851888670884013,285.18886708840137,0.2596129030308912,25.96129030308913,3.612191594303834,0.0687318545935429,28599757.01378318,36224345.9708043,7.497254702621178,9.49599495017052,9.49599495017052,147.34594813501093,38.252909345169336,1224.0930990454187
4fe85b1c2f9d2c0b,2026-07-09T18:19:55.490080+00:00,gpu,float32,16384,128,512,1,64,16,skewed,[16384],0.0744873145595192,16384,[256],256,256,0,1.0,16384,0,1.0,0.0,0.0,1.0,32,4294967296,4294967296,0,84410368,17301504,33554432,32.0,67108864,0.7950310559006211,79.5031055900621,150994944,150994944,524288,134217728,256.0,50.88198757763975,248.24242424242425,248.24242424242425,28.444444444444443,28.444444444444443,32.0,4.0,32.0,0.9696969696969696,96.96969696969695,5.0,4.878787878787879,86016,94208,0.000279426574707,3.059203095290286e-07,4.768492544826586e-06,8.098936814349145e-05,True,True,True,1186.931432,0.5742115999999999,0.572872,0.564328,0.596739,0.0089574057873917,0.5660218,0.5809124999999999,1.5599485951506014,"[0.574043, 0.579154, 0.596739, 0.571701, 0.568765, 0.56621, 0.576518, 0.566837, 0.577821, 0.564328]",488.734655,0.349425,0.3476545,0.343917,0.359564,0.0055247700223629,0.3439187999999999,0.3577523,1.5811032474387725,"[0.359564, 0.349521, 0.351991, 0.343919, 0.344163, 0.345195, 0.343917, 0.345788, 0.357551, 0.352641]",1.6478198901495595,0.1174209689440993,2.960753118682813,196.0753118682813,0.3377519029499097,33.77519029499097,3.23096798863832,0.1670160654291833,28599757.01378318,47127248.4607563,7.497254702621178,12.3541254204965,12.3541254204965,147.34594813501093,49.76637437455865,434.3247218143301
84923101f026eb6d,2026-07-09T18:19:56.595415+00:00,gpu,float32,16384,128,512,1,32,32,skewed,[16384],0.0744873145595192,16384,[512],512,512,0,1.0,16384,0,1.0,0.0,0.0,1.0,16,4294967296,4294967296,0,84410368,17301504,33554432,32.0,67108864,0.7950310559006211,79.5031055900621,285212672,285212672,524288,268435456,512.0,50.88198757763975,248.24242424242425,248.24242424242425,15.058823529411764,15.058823529411764,16.0,4.0,32.0,0.9696969696969696,96.96969696969695,5.0,4.878787878787879,69632,86016,0.000279426574707,3.059203095290286e-07,4.768492544826586e-06,8.098936814349145e-05,True,True,True,1186.931432,0.5742115999999999,0.572872,0.564328,0.596739,0.0089574057873917,0.5660218,0.5809124999999999,1.5599485951506014,"[0.574043, 0.579154, 0.596739, 0.571701, 0.568765, 0.56621, 0.576518, 0.566837, 0.577821, 0.564328]",386.906436,0.2956933999999999,0.2933755,0.289858,0.309573,0.0056500983035695,0.291523,0.3026187,1.9107962178288709,"[0.309573, 0.29532, 0.289858, 0.292662, 0.293091, 0.291761, 0.297455, 0.301846, 0.29366, 0.291708]",1.952692027793732,0.1174209689440993,2.4984932643475912,149.84932643475915,0.4002412230881562,40.02412230881563,2.926095850994147,0.2456159134155715,28599757.01378318,55846517.51765229,7.497254702621178,14.63982948814744,14.63982948814744,147.34594813501093,58.97392249864082,972.176176947291
ddb36258e3fc3031,2026-07-09T18:20:01.124830+00:00,gpu,float32,4096,128,512,4,8,16,skewed,"[2212, 931, 561, 392]",0.0210937745869159,2212,"[277, 117, 71, 49]",514,1108,594,0.463898916967509,4112,16,0.9961089494163424,0.00390625,0.390625,1.00390625,32,1073741824,1077936128,4194304,23068672,6291456,8388608,8.0,16777216,0.7272727272727273,72.72727272727273,273678336,273694720,2097152,269484032,128.5,46.54545454545455,170.66666666666666,171.33333333333334,3.938697318007663,3.9384615384615382,4.0,4.0,2.0,0.6666666666666666,66.66666666666666,5.0,3.6666666666666665,25088,33280,0.0002175569534301,2.5358934863106697e-07,3.688032393256435e-06,6.894419493619353e-05,True,True,True,1628.90781,0.3346215,0.333256,0.328073,0.341514,0.0045432719542197,0.3304246999999999,0.3407274,1.3577346208237584,"[0.334225, 0.338153, 0.341514, 0.332287, 0.338883, 0.331003, 0.330686, 0.34064, 0.330751, 0.328073]",261.264689,0.2598407,0.258235,0.247286,0.2868,0.0110086315866232,0.2481833,0.2720156999999999,4.236684855999575,"[0.25728, 0.253004, 0.260143, 0.2868, 0.25919, 0.248283, 0.270373, 0.254666, 0.261382, 0.247286]",1.2905144538888995,0.090888,2.841244168647126,184.12441686471263,0.3519584874242454,35.195848742424545,2.376152212777767,0.1089429202083374,12290851.477542792,15861521.482370708,3.2219729697289776,4.158002687474587,4.174244885472534,69.22207552152099,24.36329699692141,1059.8034193660812
2073679a24cec99f,2026-07-09T18:20:01.474645+00:00,gpu,float32,4096,128,512,4,16,32,skewed,"[2212, 931, 561, 392]",0.0210937745869159,2212,"[139, 59, 36, 25]",259,556,297,0.4658273381294964,4144,48,0.9884169884169884,0.01171875,1.171875,1.01171875,16,1073741824,1086324736,12582912,23068672,6291456,8388608,8.0,16777216,0.7272727272727273,72.72727272727273,139984896,140034048,2097152,135790592,64.75,46.54545454545455,170.66666666666666,172.66666666666666,7.760299625468165,7.757575757575758,8.0,4.0,2.0,0.6666666666666666,66.66666666666666,5.0,3.6666666666666665,51200,67584,0.0002175569534301,2.5358934863106697e-07,3.688032393256435e-06,6.894419493619353e-05,True,True,True,1628.90781,0.3346215,0.333256,0.328073,0.341514,0.0045432719542197,0.3304246999999999,0.3407274,1.3577346208237584,"[0.334225, 0.338153, 0.341514, 0.332287, 0.338883, 0.331003, 0.330686, 0.34064, 0.330751, 0.328073]",329.510831,0.2013915,0.1990215,0.181521,0.226182,0.0122114323340875,0.1924947,0.219729,6.063529162892971,"[0.226182, 0.219012, 0.202751, 0.19492, 0.193714, 0.181521, 0.202033, 0.19601, 0.195232, 0.20254]",1.6744723560017385,0.090888,2.189744520728809,118.97445207288092,0.4566742789095651,45.66742789095651,1.992194310664928,0.2529271335006519,12290851.477542792,20580691.030868523,3.2219729697289776,5.395104669595998,5.458328552442826,69.22207552152099,31.611941423414056,703.3656966709626
